track_name,album_name,danceability,energy,loudness,acousticness,instrumentalness,tempo,speechiness,liveness,valence
Mariners Apartment Complex,Norman Fucking Rockwell!,0.531,0.252,-12.765,0.763,1.33e-4,76.054,0.028,0.104,0.159
Venice Bitch,Norman Fucking Rockwell!,0.368,0.286,-13.031,0.913,0.177,77.826,0.0294,0.099,0.312
Fuck it I love you,Norman Fucking Rockwell!,0.534,0.452,-10.732,0.895,0.00165,129.974,0.0359,0.125,0.175
Doin' Time,Norman Fucking Rockwell!,0.641,0.559,-11.132,0.404,0.00402,144.982,0.0355,0.0937,0.523
Love song,Norman Fucking Rockwell!,0.384,0.0701,-16.512,0.966,1.7e-4,63.425,0.0367,0.0805,0.288
Cinnamon Girl,Norman Fucking Rockwell!,0.294,0.337,-10.614,0.814,0.414,91.781,0.036,0.14,0.135
How to disappear,Norman Fucking Rockwell!,0.538,0.304,-11.79,0.613,6.31e-4,78.997,0.0352,0.164,0.065
California,Norman Fucking Rockwell!,0.449,0.41,-8.067,0.761,0,123.758,0.0317,0.0631,0.195
The Next Best American Record,Norman Fucking Rockwell!,0.569,0.354,-9.862,0.616,2.75e-5,108.083,0.0315,0.112,0.118
The greatest,Norman Fucking Rockwell!,0.443,0.226,-12.507,0.939,0.0201,79.142,0.0359,0.14,0.196
Bartender,Norman Fucking Rockwell!,0.582,0.102,-14.712,0.924,0,131.773,0.0391,0.174,0.494
Happiness is a butterfly,Norman Fucking Rockwell!,0.467,0.119,-10.99,0.969,1.4e-6,70.499,0.0401,0.0973,0.156
hope is a dangerous thing for a woman like me to have - but I have it,Norman Fucking Rockwell!,0.49,0.104,-13.208,0.964,0,86.675,0.0635,0.162,0.278
White Dress,Chemtrails Over The Country Club,0.493,0.263,-12.805,0.926,0,122.792,0.0351,0.0879,0.158
Chemtrails Over The Country Club,Chemtrails Over The Country Club,0.334,0.276,-13.125,0.877,2.49e-4,201.025,0.0643,0.113,0.429
Tulsa Jesus Freak,Chemtrails Over The Country Club,0.387,0.339,-12.962,0.918,0.00272,137.199,0.0489,0.13,0.273
